name,ring,quadrant,isNew,description
AppDynamics,Adopt,APM,FALSE,"<p>This is our current supported APM on SRe and used by OMS, Mobile</p>"
Thousand Eyes,Adopt,Synthetic Monitoring,FALSE,<p>Used predominantly by FE teams for monitoring and alerting.</p>
BlueTriangle,Adopt,RUM,FALSE,<p>Used predominantly by FE teams for monitoring and alerting.</p>
QuantumMetrics,Adopt,RUM,FALSE,
Sentry,Adopt,RUM,FALSE,<p>Used predominantly by FE teams for monitoring and alerting.</p>
BlueTriangle,Assess,APM,TRUE,"<p><a href=""https://livebook.manning.com/book/specification-by-example/chapter-3/"">While it's used for Perfomance Testing, it's still not listed on Gartner's Magic Quadrant and not a candidate for enterprise APM.</p>"
New Relic,Trial,APM,TRUE,"<p>Although it’s been around for a while, we're seeing more and more use cases where using the <a href=""http://cbor.io/"">CBOR</a> specification for data interchange makes sense — especially in environments containing multiple types of applications communicating with one another: service to service, browser to service, and so on. One thing we've found useful with <a href=""https://github.com/sirthias/borer"">Borer</a>, a Scala implementation of a CBOR encoder/decoder, is the ability for clients to negotiate content between the binary representation and plain old JSON format. It's quite useful to have a text version viewable in a browser as well as the concise binary format. We foresee <strong>CBOR/JSON bilingual protocols</strong> picking up in popularity with the continuing rise of IoT and edge computing and other situations where the environment is tightly constrained.</p>"
Splunk IM,Assess,APM,FALSE,"<p>Increasingly, we see a mismatch between what data-driven organizations want to achieve and what the current data architectures and organizational structures allow. Organizations want to embed data-driven decision-making, machine learning and analytics into many aspects of their products and services and how they operate internally; essentially they want to augment every aspect of their operational landscape with data-driven intelligence. Yet, we still have a ways to go before we can embed analytical data, access to it and how it is managed into the business domains and operations. Today, every aspect of managing analytical data is externalized outside of the operational business domains to the data team and to the data management monoliths: data lakes and data warehouses. <strong><a href=""https://martinfowler.com/articles/data-monolith-to-mesh.html"">Data mesh</a></strong> is a decentralized sociotechnical approach to remove the dichotomy of analytical data and business operation. Its objective is to embed sharing and using analytical data into each operational business domain and close the gap between the operational and analytical planes. It's founded on four principles: domain data ownership, data as a product, self-serve data platform and computational federated governance.</p>

<p>Our teams have been implementing the <a href=""https://martinfowler.com/articles/data-mesh-principles.html"">data mesh architecture</a>; they've created new architectural abstractions such as the data product quantum to encapsulate the code, data and policy as an autonomous unit of analytical data sharing embedded into operational domains; and they've built self-serve data platform capabilities to manage the lifecycle of data product quanta in a declarative manner as described in <em><a href=""https://www.oreilly.com/library/view/data-mesh/9781492092384/"">Data Mesh</a></em>. Despite our technical advances, we're still experiencing friction using the existing technologies in a data mesh topology, not to mention the resistance of business domains to embrace sharing and using data as a first-class responsibility in some organizations.</p>"
SignalFX,Hold,Infrastructure Monitoring,FALSE,<p>Used predominantly by FE teams for monitoring and alerting.</p>
Dynatrace,Hold,APM,FALSE,<p>Used by infra and retail. Highly recommended by ACN.</p>
CloudWatch,Hold,APM,FALSE,"<p>Since introducing them in the Radar in 2016, we've seen widespread adoption of <a href=""/radar/techniques/micro-frontends"">micro frontends</a> for web UIs. Recently, however, we've seen projects extend this architectural style to include <strong>micro frontends for mobile</strong> applications as well. When the application becomes sufficiently large and complex, it becomes necessary to distribute the development over multiple teams. This presents the challenge of maintaining team autonomy while integrating their work into a single app. Some teams write their own frameworks to enable this development style, and in the past we've mentioned <a href=""/radar/languages-and-frameworks/atlas-and-beehive"">Atlas and Beehive</a> as possible ways to simplify the problem of integrating multiteam app development. More recently, we've seen teams using <a href=""/radar/languages-and-frameworks/react-native"">React Native</a> to accomplish the same thing. Each React Native micro frontend is kept in its own repository where it can be built, tested and deployed separately. The team responsible for the overall application can then aggregate those micro frontends built by different teams into a single released app.</p>"
Prometheus,Hold,APM,FALSE,<p>Used by teams as a cheaper lightweight Infrastructure Monitoring soluion</p>
New Relic,Trial,APM,TRUE,"<p>Although it’s been around for a while, we're seeing more and more use cases where using the <a href=""http://cbor.io/"">CBOR</a> specification for data interchange makes sense — especially in environments containing multiple types of applications communicating with one another: service to service, browser to service, and so on. One thing we've found useful with <a href=""https://github.com/sirthias/borer"">Borer</a>, a Scala implementation of a CBOR encoder/decoder, is the ability for clients to negotiate content between the binary representation and plain old JSON format. It's quite useful to have a text version viewable in a browser as well as the concise binary format. We foresee <strong>CBOR/JSON bilingual protocols</strong> picking up in popularity with the continuing rise of IoT and edge computing and other situations where the environment is tightly constrained.</p>"
Splunk IM,Assess,APM,FALSE,"<p>Increasingly, we see a mismatch between what data-driven organizations want to achieve and what the current data architectures and organizational structures allow. Organizations want to embed data-driven decision-making, machine learning and analytics into many aspects of their products and services and how they operate internally; essentially they want to augment every aspect of their operational landscape with data-driven intelligence. Yet, we still have a ways to go before we can embed analytical data, access to it and how it is managed into the business domains and operations. Today, every aspect of managing analytical data is externalized outside of the operational business domains to the data team and to the data management monoliths: data lakes and data warehouses. <strong><a href=""https://martinfowler.com/articles/data-monolith-to-mesh.html"">Data mesh</a></strong> is a decentralized sociotechnical approach to remove the dichotomy of analytical data and business operation. Its objective is to embed sharing and using analytical data into each operational business domain and close the gap between the operational and analytical planes. It's founded on four principles: domain data ownership, data as a product, self-serve data platform and computational federated governance.</p>

<p>Our teams have been implementing the <a href=""https://martinfowler.com/articles/data-mesh-principles.html"">data mesh architecture</a>; they've created new architectural abstractions such as the data product quantum to encapsulate the code, data and policy as an autonomous unit of analytical data sharing embedded into operational domains; and they've built self-serve data platform capabilities to manage the lifecycle of data product quanta in a declarative manner as described in <em><a href=""https://www.oreilly.com/library/view/data-mesh/9781492092384/"">Data Mesh</a></em>. Despite our technical advances, we're still experiencing friction using the existing technologies in a data mesh topology, not to mention the resistance of business domains to embrace sharing and using data as a first-class responsibility in some organizations.</p>"
DataDog,Assess,APM,TRUE,
Splunk Observability,Assess,Synthetic Monitoring,TRUE,
Splunk Observability,Assess,APM,TRUE,
Splunk Observability,Assess,RUM,TRUE,
AWS SYM,Hold,Synthetic Monitoring,,
